Harvest Hope Community Food Bank  |  Distribution History,,,,,,,,,
"To log a distribution: enter Date (col B), Pantry ID (col C), Item ID (col E), and Qty Distributed (col I). Other fields fill automatically.",,,,,,,,,
DIST-0054,07/16/2025,PP001,Riverside Community Pantry,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),30,
DIST-0055,07/16/2025,PP001,Riverside Community Pantry,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),9,
DIST-0056,07/16/2025,PP001,Riverside Community Pantry,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),15,
DIST-0057,07/16/2025,PP001,Riverside Community Pantry,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),6,
DIST-0058,07/16/2025,PP001,Riverside Community Pantry,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),20,
DIST-0059,07/16/2025,PP001,Riverside Community Pantry,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),12,
DIST-0060,07/16/2025,PP001,Riverside Community Pantry,FI023,Breakfast Cereal,Breakfast,Box (18 oz),11,
DIST-0061,07/16/2025,PP001,Riverside Community Pantry,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),5,
DIST-0062,07/16/2025,PP001,Riverside Community Pantry,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),19,
DIST-0063,07/16/2025,PP001,Riverside Community Pantry,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),6,
DIST-0064,07/17/2025,PP001,Riverside Community Pantry,FI001,Canned Tuna,Canned Protein,Can (5 oz),23,
DIST-0065,07/17/2025,PP001,Riverside Community Pantry,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),10,
DIST-0066,07/17/2025,PP001,Riverside Community Pantry,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,9,
DIST-0067,07/17/2025,PP001,Riverside Community Pantry,FI013,Canned Peaches,Canned Fruit,Can (15 oz),12,
DIST-0068,07/17/2025,PP001,Riverside Community Pantry,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),19,
DIST-0069,07/17/2025,PP001,Riverside Community Pantry,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),5,
DIST-0070,07/17/2025,PP001,Riverside Community Pantry,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),26,
DIST-0071,07/17/2025,PP001,Riverside Community Pantry,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),16,
DIST-0072,07/17/2025,PP001,Riverside Community Pantry,FI004,Canned Black Beans,Canned Protein,Can (15 oz),21,
DIST-0073,07/17/2025,PP001,Riverside Community Pantry,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),17,
DIST-0074,07/17/2025,PP001,Riverside Community Pantry,FI010,Canned Peas,Canned Vegetables,Can (15 oz),19,
DIST-0075,07/17/2025,PP001,Riverside Community Pantry,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),12,
DIST-0092,07/25/2025,PP001,Riverside Community Pantry,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),13,
DIST-0093,07/25/2025,PP001,Riverside Community Pantry,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),11,
DIST-0094,07/25/2025,PP001,Riverside Community Pantry,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),27,
DIST-0095,07/25/2025,PP001,Riverside Community Pantry,FI023,Breakfast Cereal,Breakfast,Box (18 oz),14,
DIST-0096,07/25/2025,PP001,Riverside Community Pantry,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),14,
DIST-0097,07/25/2025,PP001,Riverside Community Pantry,FI007,Peanut Butter,Canned Protein,Jar (16 oz),17,
DIST-0098,07/25/2025,PP001,Riverside Community Pantry,FI001,Canned Tuna,Canned Protein,Can (5 oz),20,
DIST-0099,07/25/2025,PP001,Riverside Community Pantry,FI004,Canned Black Beans,Canned Protein,Can (15 oz),13,
DIST-0100,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI037,Eggs (1 dozen),Dairy & Refrigerated,Dozen,3,
DIST-0101,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI042,Apples,Fresh Produce,Bag (3 lb),2,
DIST-0102,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),2,
DIST-0103,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),3,
DIST-0104,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),9,
DIST-0105,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),7,
DIST-0106,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),11,
DIST-0107,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),5,
DIST-0108,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI019,Pasta - Penne,Dry Goods,Box (16 oz),5,
DIST-0109,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),9,
DIST-0110,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),5,
DIST-0111,07/25/2025,PP002,St. Augustine's Shelter Pantry,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),3,
DIST-0112,07/28/2025,PP004,Oakdale School Family Pantry,FI004,Canned Black Beans,Canned Protein,Can (15 oz),16,
DIST-0113,07/28/2025,PP004,Oakdale School Family Pantry,FI007,Peanut Butter,Canned Protein,Jar (16 oz),16,
DIST-0114,07/28/2025,PP004,Oakdale School Family Pantry,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),9,
DIST-0115,07/28/2025,PP004,Oakdale School Family Pantry,FI014,Canned Pears,Canned Fruit,Can (15 oz),10,
DIST-0116,07/28/2025,PP004,Oakdale School Family Pantry,FI013,Canned Peaches,Canned Fruit,Can (15 oz),9,
DIST-0117,07/28/2025,PP004,Oakdale School Family Pantry,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),6,
DIST-0118,07/28/2025,PP004,Oakdale School Family Pantry,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,7,
DIST-0076,07/29/2025,PP003,Maplewood Senior Center,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),6,
DIST-0077,07/29/2025,PP003,Maplewood Senior Center,FI043,Bananas,Fresh Produce,Bunch (~7),3,
DIST-0078,07/29/2025,PP003,Maplewood Senior Center,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),2,
DIST-0079,07/29/2025,PP003,Maplewood Senior Center,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),10,
DIST-0080,07/29/2025,PP003,Maplewood Senior Center,FI025,Granola Bars,Breakfast,Box (8 bars),4,
DIST-0081,07/29/2025,PP003,Maplewood Senior Center,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),2,
DIST-0082,07/29/2025,PP003,Maplewood Senior Center,FI019,Pasta - Penne,Dry Goods,Box (16 oz),3,
DIST-0083,07/29/2025,PP003,Maplewood Senior Center,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),10,
DIST-0084,07/29/2025,PP003,Maplewood Senior Center,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),2,
DIST-0085,07/29/2025,PP003,Maplewood Senior Center,FI001,Canned Tuna,Canned Protein,Can (5 oz),4,
DIST-0086,07/29/2025,PP001,Riverside Community Pantry,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),5,
DIST-0087,07/29/2025,PP001,Riverside Community Pantry,FI010,Canned Peas,Canned Vegetables,Can (15 oz),16,
DIST-0088,07/29/2025,PP001,Riverside Community Pantry,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),18,
DIST-0089,07/29/2025,PP001,Riverside Community Pantry,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),13,
DIST-0090,07/29/2025,PP001,Riverside Community Pantry,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),16,
DIST-0091,07/29/2025,PP001,Riverside Community Pantry,FI023,Breakfast Cereal,Breakfast,Box (18 oz),12,
DIST-0124,07/30/2025,PP001,Riverside Community Pantry,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),3,
DIST-0125,07/30/2025,PP001,Riverside Community Pantry,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),4,
DIST-0126,07/30/2025,PP001,Riverside Community Pantry,FI043,Bananas,Fresh Produce,Bunch (~7),7,
DIST-0127,07/30/2025,PP001,Riverside Community Pantry,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),13,
DIST-0128,07/30/2025,PP001,Riverside Community Pantry,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),15,
DIST-0129,07/30/2025,PP001,Riverside Community Pantry,FI042,Apples,Fresh Produce,Bag (3 lb),7,
DIST-0130,07/30/2025,PP001,Riverside Community Pantry,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),2,
DIST-0131,07/30/2025,PP001,Riverside Community Pantry,FI025,Granola Bars,Breakfast,Box (8 bars),13,
DIST-0132,07/30/2025,PP001,Riverside Community Pantry,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),25,
DIST-0133,07/30/2025,PP001,Riverside Community Pantry,FI024,Pancake Mix,Breakfast,Box (32 oz),7,
DIST-0134,07/30/2025,PP001,Riverside Community Pantry,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),5,
DIST-0135,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),4,
DIST-0136,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),2,
DIST-0137,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),2,
DIST-0138,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,3,
DIST-0139,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI004,Canned Black Beans,Canned Protein,Can (15 oz),9,
DIST-0140,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI025,Granola Bars,Breakfast,Box (8 bars),5,
DIST-0141,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),1,
DIST-0142,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),9,
DIST-0143,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),1,
DIST-0144,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),1,
DIST-0145,07/30/2025,PP002,St. Augustine's Shelter Pantry,FI037,Eggs (1 dozen),Dairy & Refrigerated,Dozen,1,
DIST-0119,07/31/2025,PP003,Maplewood Senior Center,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),5,
DIST-0120,07/31/2025,PP003,Maplewood Senior Center,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),4,
DIST-0121,07/31/2025,PP003,Maplewood Senior Center,FI019,Pasta - Penne,Dry Goods,Box (16 oz),2,
DIST-0122,07/31/2025,PP003,Maplewood Senior Center,FI043,Bananas,Fresh Produce,Bunch (~7),1,
DIST-0123,07/31/2025,PP003,Maplewood Senior Center,FI041,Flour Tortillas,Bread & Bakery,Pack (20 ct),3,
DIST-0146,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI013,Canned Peaches,Canned Fruit,Can (15 oz),6,
DIST-0147,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),8,
DIST-0148,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),10,
DIST-0149,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),6,
DIST-0150,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),11,
DIST-0151,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),4,
DIST-0152,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),2,
DIST-0153,08/05/2025,PP002,St. Augustine's Shelter Pantry,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),3,
DIST-0154,08/05/2025,PP001,Riverside Community Pantry,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,8,
DIST-0155,08/05/2025,PP001,Riverside Community Pantry,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),10,
DIST-0156,08/05/2025,PP001,Riverside Community Pantry,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),15,
DIST-0157,08/05/2025,PP001,Riverside Community Pantry,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),5,
DIST-0158,08/05/2025,PP001,Riverside Community Pantry,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),22,
DIST-0159,08/05/2025,PP001,Riverside Community Pantry,FI001,Canned Tuna,Canned Protein,Can (5 oz),26,
DIST-0160,08/05/2025,PP001,Riverside Community Pantry,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,13,
DIST-0161,08/05/2025,PP001,Riverside Community Pantry,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),6,
DIST-0162,08/05/2025,PP001,Riverside Community Pantry,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),5,
DIST-0163,08/05/2025,PP001,Riverside Community Pantry,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),17,
DIST-0164,08/05/2025,PP001,Riverside Community Pantry,FI008,Canned Corn,Canned Vegetables,Can (15 oz),19,
DIST-0165,08/08/2025,PP004,Oakdale School Family Pantry,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),9,
DIST-0166,08/08/2025,PP004,Oakdale School Family Pantry,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),16,
DIST-0167,08/08/2025,PP004,Oakdale School Family Pantry,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),9,
DIST-0168,08/08/2025,PP004,Oakdale School Family Pantry,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),10,
DIST-0169,08/08/2025,PP004,Oakdale School Family Pantry,FI010,Canned Peas,Canned Vegetables,Can (15 oz),14,
DIST-0170,08/08/2025,PP004,Oakdale School Family Pantry,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,11,
DIST-0171,08/08/2025,PP004,Oakdale School Family Pantry,FI039,White Sandwich Bread,Bread & Bakery,Loaf,7,
DIST-0172,08/08/2025,PP004,Oakdale School Family Pantry,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),6,
DIST-0173,08/08/2025,PP004,Oakdale School Family Pantry,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),7,
DIST-0174,08/08/2025,PP004,Oakdale School Family Pantry,FI043,Bananas,Fresh Produce,Bunch (~7),7,
DIST-0175,08/08/2025,PP004,Oakdale School Family Pantry,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),14,
DIST-0176,08/08/2025,PP004,Oakdale School Family Pantry,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),7,
DIST-0177,08/08/2025,PP003,Maplewood Senior Center,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),2,
DIST-0178,08/08/2025,PP003,Maplewood Senior Center,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),7,
DIST-0179,08/08/2025,PP003,Maplewood Senior Center,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),3,
DIST-0180,08/08/2025,PP003,Maplewood Senior Center,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),3,
DIST-0181,08/08/2025,PP003,Maplewood Senior Center,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),5,
DIST-0182,08/08/2025,PP003,Maplewood Senior Center,FI039,White Sandwich Bread,Bread & Bakery,Loaf,3,
DIST-0183,08/08/2025,PP003,Maplewood Senior Center,FI042,Apples,Fresh Produce,Bag (3 lb),1,
DIST-0184,08/08/2025,PP003,Maplewood Senior Center,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),6,
DIST-0185,08/08/2025,PP003,Maplewood Senior Center,FI013,Canned Peaches,Canned Fruit,Can (15 oz),2,
DIST-0200,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),3,
DIST-0201,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI014,Canned Pears,Canned Fruit,Can (15 oz),3,
DIST-0202,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),4,
DIST-0203,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI042,Apples,Fresh Produce,Bag (3 lb),3,
DIST-0204,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),5,
DIST-0205,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),1,
DIST-0206,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),11,
DIST-0207,08/10/2025,PP002,St. Augustine's Shelter Pantry,FI001,Canned Tuna,Canned Protein,Can (5 oz),9,
DIST-0186,08/11/2025,PP002,St. Augustine's Shelter Pantry,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),7,
DIST-0187,08/11/2025,PP002,St. Augustine's Shelter Pantry,FI013,Canned Peaches,Canned Fruit,Can (15 oz),5,
DIST-0188,08/11/2025,PP002,St. Augustine's Shelter Pantry,FI004,Canned Black Beans,Canned Protein,Can (15 oz),9,
DIST-0189,08/11/2025,PP002,St. Augustine's Shelter Pantry,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),4,
DIST-0190,08/11/2025,PP002,St. Augustine's Shelter Pantry,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),10,
DIST-0191,08/11/2025,PP003,Maplewood Senior Center,FI041,Flour Tortillas,Bread & Bakery,Pack (20 ct),4,
DIST-0192,08/11/2025,PP003,Maplewood Senior Center,FI008,Canned Corn,Canned Vegetables,Can (15 oz),6,
DIST-0193,08/11/2025,PP003,Maplewood Senior Center,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),1,
DIST-0194,08/11/2025,PP003,Maplewood Senior Center,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),6,
DIST-0195,08/11/2025,PP003,Maplewood Senior Center,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),4,
DIST-0196,08/11/2025,PP003,Maplewood Senior Center,FI024,Pancake Mix,Breakfast,Box (32 oz),4,
DIST-0197,08/11/2025,PP003,Maplewood Senior Center,FI039,White Sandwich Bread,Bread & Bakery,Loaf,3,
DIST-0198,08/11/2025,PP003,Maplewood Senior Center,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),4,
DIST-0199,08/11/2025,PP003,Maplewood Senior Center,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),5,
DIST-0208,08/16/2025,PP003,Maplewood Senior Center,FI014,Canned Pears,Canned Fruit,Can (15 oz),2,
DIST-0209,08/16/2025,PP003,Maplewood Senior Center,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),7,
DIST-0210,08/16/2025,PP003,Maplewood Senior Center,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),4,
DIST-0211,08/16/2025,PP003,Maplewood Senior Center,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),3,
DIST-0212,08/16/2025,PP003,Maplewood Senior Center,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,3,
DIST-0213,08/16/2025,PP003,Maplewood Senior Center,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),5,
DIST-0214,08/16/2025,PP003,Maplewood Senior Center,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),2,
