Harvest Hope Community Food Bank  |  Donations Log,,,,,,,,,,,
"To log a new donation: enter Date (col B), Item ID (col C), Qty Received (col G), Expiration Date (col H), and Donor Type (col K). Other fields fill automatically.",,,,,,,,,,,
DON-0046,07/15/2025,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),99,10/3/2026,99,OK,School Drive,
DON-0047,07/15/2025,FI010,Canned Peas,Canned Vegetables,Can (15 oz),99,5/25/2027,333,OK,School Drive,
DON-0048,07/15/2025,FI013,Canned Peaches,Canned Fruit,Can (15 oz),26,7/21/2027,390,OK,School Drive,
DON-0049,07/15/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),7,12/4/2029,1257,OK,School Drive,
DON-0050,07/15/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),17,3/9/2030,1352,OK,School Drive,
DON-0051,07/17/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,23,7/23/2025,-338,EXPIRED,Restaurant Partner,
DON-0052,07/17/2025,FI041,Flour Tortillas,Bread & Bakery,Pack (20 ct),13,8/3/2025,-327,EXPIRED,Community Drive,
DON-0053,07/17/2025,FI046,Yellow Onions (3 lb),Fresh Produce,Bag (3 lb),44,8/6/2025,-324,EXPIRED,Community Drive,
DON-0054,07/17/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),24,2/2/2026,-144,EXPIRED,Restaurant Partner,
DON-0055,07/17/2025,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),28,9/24/2026,90,OK,Community Drive,
DON-0056,07/17/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),46,3/27/2027,274,OK,Restaurant Partner,
DON-0057,07/17/2025,FI014,Canned Pears,Canned Fruit,Can (15 oz),31,6/28/2027,367,OK,Restaurant Partner,
DON-0058,07/17/2025,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),90,6/22/2028,727,OK,Restaurant Partner,
DON-0059,07/17/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),11,4/19/2029,1028,OK,Restaurant Partner,
DON-0060,07/17/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),6,4/24/2030,1398,OK,Restaurant Partner,
DON-0061,07/18/2025,FI037,Eggs (1 dozen),Dairy & Refrigerated,Dozen,22,8/9/2025,-321,EXPIRED,Restaurant Partner,
DON-0062,07/18/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),12,12/10/2025,-198,EXPIRED,Restaurant Partner,
DON-0063,07/18/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),92,9/7/2027,438,OK,Restaurant Partner,
DON-0064,07/18/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),14,7/27/2028,762,OK,Restaurant Partner,
DON-0065,07/24/2025,FI043,Bananas,Fresh Produce,Bunch (~7),22,8/2/2025,-328,EXPIRED,Corporate Drive,
DON-0066,07/24/2025,FI037,Eggs (1 dozen),Dairy & Refrigerated,Dozen,18,8/28/2025,-302,EXPIRED,Corporate Drive,
DON-0067,07/24/2025,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),12,9/1/2025,-298,EXPIRED,Corporate Drive,
DON-0068,07/24/2025,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),34,4/15/2026,-72,EXPIRED,Corporate Drive,
DON-0069,07/24/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),77,2/18/2027,237,OK,Corporate Drive,
DON-0070,07/24/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),19,4/12/2027,290,OK,Corporate Drive,
DON-0071,07/24/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),57,6/10/2027,349,OK,Corporate Drive,
DON-0072,07/26/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),16,8/3/2025,-327,EXPIRED,Restaurant Partner,
DON-0073,07/26/2025,FI042,Apples,Fresh Produce,Bag (3 lb),32,8/4/2025,-326,EXPIRED,Restaurant Partner,
DON-0074,07/26/2025,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),22,8/5/2025,-325,EXPIRED,Restaurant Partner,
DON-0075,07/26/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,10,8/8/2025,-322,EXPIRED,Corporate Drive,
DON-0076,07/26/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),16,9/4/2025,-295,EXPIRED,Corporate Drive,
DON-0077,07/26/2025,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),7,12/11/2025,-197,EXPIRED,Individual Donor,
DON-0078,07/26/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),41,3/28/2026,-90,EXPIRED,Corporate Drive,
DON-0079,07/26/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),25,4/24/2026,-63,EXPIRED,Corporate Drive,
DON-0080,07/26/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),20,5/9/2026,-48,EXPIRED,Restaurant Partner,
DON-0081,07/26/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),51,7/5/2026,9,NOTICE,Restaurant Partner,
DON-0082,07/26/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),32,11/7/2026,134,OK,Restaurant Partner,
DON-0083,07/26/2025,FI004,Canned Black Beans,Canned Protein,Can (15 oz),70,11/14/2026,141,OK,Restaurant Partner,
DON-0084,07/26/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),63,3/23/2027,270,OK,Individual Donor,
DON-0085,07/26/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),31,5/25/2027,333,OK,Corporate Drive,
DON-0086,07/26/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),53,2/1/2028,585,OK,Corporate Drive,
DON-0087,07/26/2025,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),64,2/9/2028,593,OK,Restaurant Partner,
DON-0088,07/26/2025,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),64,2/29/2028,613,OK,Individual Donor,
DON-0089,07/27/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),20,3/28/2026,-90,EXPIRED,Corporate Drive,
DON-0090,07/27/2025,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),24,10/18/2026,114,OK,Corporate Drive,
DON-0091,07/27/2025,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),101,1/11/2027,199,OK,Corporate Drive,
DON-0092,07/30/2025,FI023,Breakfast Cereal,Breakfast,Box (18 oz),29,6/22/2026,-4,EXPIRED,Community Drive,
DON-0093,07/30/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),22,6/29/2026,3,CRITICAL,Community Drive,
DON-0094,07/30/2025,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),62,8/7/2026,42,OK,Community Drive,
DON-0095,07/30/2025,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),41,1/7/2027,195,OK,Community Drive,
DON-0096,07/30/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),74,6/4/2027,343,OK,Community Drive,
DON-0097,07/30/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),20,6/22/2027,361,OK,Community Drive,
DON-0098,07/30/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),21,5/16/2026,-41,EXPIRED,Community Drive,
DON-0099,07/31/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),19,8/9/2025,-321,EXPIRED,School Drive,
DON-0100,07/31/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,13,8/14/2025,-316,EXPIRED,School Drive,
DON-0101,07/31/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),34,2/9/2026,-137,EXPIRED,School Drive,
DON-0102,08/06/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),16,9/18/2025,-281,EXPIRED,Grocery Rescue,
DON-0103,08/06/2025,FI010,Canned Peas,Canned Vegetables,Can (15 oz),77,1/4/2027,192,OK,Grocery Rescue,
DON-0104,08/06/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),12,6/30/2027,369,OK,Grocery Rescue,
DON-0105,08/08/2025,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),43,8/21/2025,-309,EXPIRED,Church Drive,
DON-0106,08/08/2025,FI023,Breakfast Cereal,Breakfast,Box (18 oz),19,1/2/2026,-175,EXPIRED,Church Drive,
DON-0107,08/08/2025,FI014,Canned Pears,Canned Fruit,Can (15 oz),37,3/3/2028,616,OK,Church Drive,
DON-0108,08/10/2025,FI041,Flour Tortillas,Bread & Bakery,Pack (20 ct),37,8/25/2025,-305,EXPIRED,Restaurant Partner,
DON-0109,08/10/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),43,1/22/2027,210,OK,Restaurant Partner,
DON-0110,08/10/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),64,4/21/2027,299,OK,Individual Donor,
DON-0111,08/10/2025,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),47,7/16/2027,385,OK,Individual Donor,
DON-0112,08/10/2025,FI004,Canned Black Beans,Canned Protein,Can (15 oz),27,7/17/2027,386,OK,Restaurant Partner,
DON-0113,08/10/2025,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),92,10/5/2027,466,OK,Individual Donor,
DON-0114,08/10/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),61,2/25/2028,609,OK,Restaurant Partner,
DON-0115,08/10/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),68,5/23/2028,697,OK,Restaurant Partner,
DON-0116,08/10/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),40,7/28/2028,763,OK,Individual Donor,
DON-0117,08/16/2025,FI023,Breakfast Cereal,Breakfast,Box (18 oz),39,2/24/2026,-122,EXPIRED,Corporate Drive,
DON-0118,08/16/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),30,4/24/2026,-63,EXPIRED,Corporate Drive,
DON-0119,08/16/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),37,10/26/2026,122,OK,Corporate Drive,
DON-0120,08/16/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),19,6/21/2027,360,OK,Corporate Drive,
DON-0121,08/16/2025,FI013,Canned Peaches,Canned Fruit,Can (15 oz),30,7/18/2027,387,OK,Corporate Drive,
DON-0122,08/16/2025,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),31,6/21/2028,726,OK,Corporate Drive,
DON-0123,08/17/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),18,5/17/2026,-40,EXPIRED,Church Drive,
DON-0124,08/17/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),77,5/15/2027,323,OK,Church Drive,
DON-0125,08/17/2025,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),66,7/4/2027,373,OK,Church Drive,
DON-0126,08/21/2025,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),16,4/25/2026,-62,EXPIRED,Community Drive,
DON-0127,08/21/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),59,11/3/2026,130,OK,Community Drive,
DON-0128,08/21/2025,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),38,4/23/2027,301,OK,Community Drive,
DON-0129,08/21/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),51,5/26/2028,700,OK,Community Drive,
DON-0130,08/23/2025,FI042,Apples,Fresh Produce,Bag (3 lb),42,9/13/2025,-286,EXPIRED,Community Drive,
DON-0131,08/23/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),18,10/9/2025,-260,EXPIRED,Community Drive,
DON-0132,08/23/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),22,1/3/2026,-174,EXPIRED,Community Drive,
DON-0133,08/23/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),37,8/4/2028,770,OK,Community Drive,
DON-0134,08/24/2025,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),31,9/10/2025,-289,EXPIRED,Church Drive,
DON-0135,08/24/2025,FI037,Eggs (1 dozen),Dairy & Refrigerated,Dozen,9,9/21/2025,-278,EXPIRED,Grocery Rescue,
DON-0136,08/24/2025,FI046,Yellow Onions (3 lb),Fresh Produce,Bag (3 lb),44,9/22/2025,-277,EXPIRED,Grocery Rescue,
DON-0137,08/24/2025,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),9,3/12/2026,-106,EXPIRED,Church Drive,
DON-0138,08/24/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),24,4/12/2026,-75,EXPIRED,Grocery Rescue,
DON-0139,08/24/2025,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),17,7/3/2026,7,WARNING,Church Drive,
DON-0140,08/24/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),26,9/16/2026,82,OK,Church Drive,
DON-0141,08/24/2025,FI014,Canned Pears,Canned Fruit,Can (15 oz),50,11/27/2026,154,OK,Church Drive,
DON-0142,08/24/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),39,12/29/2026,186,OK,Grocery Rescue,
DON-0143,08/24/2025,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),64,2/13/2027,232,OK,Church Drive,
DON-0144,08/24/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),29,7/4/2028,739,OK,Grocery Rescue,
DON-0145,08/24/2025,FI013,Canned Peaches,Canned Fruit,Can (15 oz),53,7/10/2028,745,OK,Grocery Rescue,
DON-0146,08/25/2025,FI043,Bananas,Fresh Produce,Bunch (~7),28,9/3/2025,-296,EXPIRED,School Drive,
DON-0147,08/25/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),24,9/27/2025,-272,EXPIRED,School Drive,
DON-0148,08/25/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),37,2/11/2026,-135,EXPIRED,School Drive,
DON-0149,08/25/2025,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),40,3/11/2026,-107,EXPIRED,School Drive,
DON-0150,08/25/2025,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),44,8/25/2026,60,OK,School Drive,
DON-0151,08/25/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),33,2/15/2027,234,OK,School Drive,
DON-0152,08/25/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),58,2/19/2027,238,OK,School Drive,
DON-0153,08/30/2025,FI025,Granola Bars,Breakfast,Box (8 bars),27,1/31/2026,-146,EXPIRED,Corporate Drive,
DON-0154,08/30/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),35,4/7/2026,-80,EXPIRED,Corporate Drive,
DON-0155,08/30/2025,FI023,Breakfast Cereal,Breakfast,Box (18 oz),18,4/19/2026,-68,EXPIRED,Corporate Drive,
DON-0156,08/30/2025,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),14,6/1/2026,-25,EXPIRED,Corporate Drive,
DON-0157,08/30/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),64,2/15/2027,234,OK,Corporate Drive,
DON-0158,08/30/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),18,4/12/2027,290,OK,Corporate Drive,
DON-0159,08/30/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),75,1/11/2028,564,OK,Corporate Drive,
DON-0160,09/02/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,45,9/6/2025,-293,EXPIRED,Grocery Rescue,
DON-0161,09/02/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,25,9/9/2025,-290,EXPIRED,Grocery Rescue,
DON-0162,09/02/2025,FI043,Bananas,Fresh Produce,Bunch (~7),24,9/12/2025,-287,EXPIRED,Grocery Rescue,
DON-0163,09/02/2025,FI046,Yellow Onions (3 lb),Fresh Produce,Bag (3 lb),18,9/25/2025,-274,EXPIRED,Restaurant Partner,
DON-0164,09/02/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),20,4/18/2026,-69,EXPIRED,Restaurant Partner,
DON-0165,09/02/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),29,6/3/2026,-23,EXPIRED,Restaurant Partner,
DON-0166,09/02/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),50,7/12/2026,16,NOTICE,Restaurant Partner,
DON-0167,09/02/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),43,2/4/2027,223,OK,Restaurant Partner,
DON-0168,09/02/2025,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),39,8/3/2027,403,OK,Restaurant Partner,
DON-0169,09/02/2025,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),42,9/29/2027,460,OK,Restaurant Partner,
DON-0170,09/02/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),78,11/29/2027,521,OK,Grocery Rescue,
DON-0171,09/02/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),74,1/31/2028,584,OK,Grocery Rescue,
DON-0172,09/02/2025,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),87,8/25/2028,791,OK,Restaurant Partner,
DON-0173,09/02/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),25,12/30/2029,1283,OK,Grocery Rescue,
DON-0174,09/03/2025,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,49,9/8/2025,-291,EXPIRED,Corporate Drive,
DON-0175,09/03/2025,FI010,Canned Peas,Canned Vegetables,Can (15 oz),116,9/15/2027,446,OK,Corporate Drive,
DON-0176,09/03/2025,FI013,Canned Peaches,Canned Fruit,Can (15 oz),43,12/31/2027,553,OK,Corporate Drive,
DON-0177,09/03/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),85,4/2/2028,646,OK,Corporate Drive,
DON-0178,09/04/2025,FI043,Bananas,Fresh Produce,Bunch (~7),23,9/10/2025,-289,EXPIRED,Corporate Drive,
DON-0179,09/04/2025,FI037,Eggs (1 dozen),Dairy & Refrigerated,Dozen,17,9/23/2025,-276,EXPIRED,Corporate Drive,
DON-0180,09/04/2025,FI042,Apples,Fresh Produce,Bag (3 lb),20,9/24/2025,-275,EXPIRED,Corporate Drive,
DON-0181,09/04/2025,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),23,10/6/2025,-263,EXPIRED,Grocery Rescue,
DON-0182,09/04/2025,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),24,10/23/2025,-246,EXPIRED,Corporate Drive,
DON-0183,09/04/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),85,4/9/2026,-78,EXPIRED,Grocery Rescue,
DON-0184,09/04/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),70,5/30/2026,-27,EXPIRED,Grocery Rescue,
DON-0185,09/04/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),69,8/15/2027,415,OK,Corporate Drive,
DON-0186,09/04/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),92,9/27/2027,458,OK,Corporate Drive,
DON-0187,09/04/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),40,8/11/2028,777,OK,Grocery Rescue,
DON-0188,09/06/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),13,9/20/2025,-279,EXPIRED,School Drive,
DON-0189,09/06/2025,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),18,9/5/2026,71,OK,School Drive,
DON-0190,09/06/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),61,7/2/2028,737,OK,School Drive,
DON-0191,09/09/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),36,11/6/2025,-232,EXPIRED,Community Drive,
DON-0192,09/09/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),72,7/27/2026,31,OK,Community Drive,
DON-0193,09/09/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),39,6/21/2027,360,OK,Community Drive,
DON-0194,09/12/2025,FI042,Apples,Fresh Produce,Bag (3 lb),17,9/27/2025,-272,EXPIRED,Government Surplus,
DON-0195,09/12/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),71,3/21/2026,-97,EXPIRED,Government Surplus,
DON-0196,09/12/2025,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),22,5/2/2026,-55,EXPIRED,Government Surplus,
DON-0197,09/12/2025,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),16,7/17/2026,21,NOTICE,Government Surplus,
DON-0198,09/12/2025,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),82,12/26/2027,548,OK,Government Surplus,
DON-0199,09/12/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),85,1/1/2028,554,OK,Government Surplus,
DON-0200,09/12/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),81,3/16/2028,629,OK,Government Surplus,
